id	osmid	name	tappa
4346	6933795	Sentiero Italia - Tappa A11
4347	6933796	Sentiero Italia - Tappa A10
4348	8748291	SI - Portella dell'Obolo - Portella Femmina Morta
4353	7160934	Sentiero Italia - Tappa U22
4422	7241873	Sentiero Italia - Tappa Q10
4433	7822692	Sentiero Italia - Tappa N12
4451	7670328	Sentiero Italia - Tappa D01
4483	7579603	Sentiero Italia - Tappa E09
4486	7579572	Sentiero Italia - Tappa E08
4507	7240522	Sentiero Italia - Tappa S17
4545	9880359	Sentiero Italia - Tappa A13
4564	9289269	Sentiero Italia - Tappa R08
4569	13251009	Sentiero Italia - Tappa R06A
4605	7579573	Sentiero Italia - Tappa E07
4634	7602510	Sentiero Italia - Tappa E21
4670	11380826	Sentiero Italia - Tappa L20
4757	6946405	Sentiero Italia - Tappa D27S
4764	7162469	Sentiero Italia - Tappa U23
4826	6992212	Sentiero Italia - Tappa Z08
4830	6899726	Sentiero Italia - Tappa C06
4835	11380851	Sentiero Italia - Tappa L21
4836	1150304	Colle di Melogno - Colla di San Giacomo
4879	1029261	Sentiero Italia - Tappa C17S
4967	9530997	Sentiero Italia - Tappa E49N
5020	9519489	Sentiero Italia - Tappa F03
5061	9521709	Sentiero Italia - Tappa F07
5066	9521668	Sentiero Italia - Tappa F06
5079	7579632	Sentiero Italia - Tappa E11
5109	9220649	Sentiero Italia - Tappa E54
5111	7448627	Sentiero Italia - Tappa N05
5117	7705143	Sentiero Italia - Tappa D31N
5125	7705268	Sentiero Italia - Tappa D37N
5164	9521888	Sentiero Italia - Tappa F10
5188	10119531	Sentiero Italia - Tappa O12
5216	7554973	Sentiero Italia - Tappa L15
5264	7669955	Sentiero Italia - Tappa E37
5292	7428265	Sentiero Italia - Tappa P15N
5300	1019916	Passo del Bocco - Colla Craiolo
5304	6901735	Sentiero Italia - Tappa B05
5311	9270471	Sentiero Italia - Tappa U32
5332	7669948	Sentiero Italia - Tappa E38
5348	7601319	Sentiero Italia - Tappa E16
5360	6946452	Sentiero Italia - Tappa D18S
5373	1029260	Sentiero Italia - Tappa C16S
5485	7459203	Sentiero Italia - Tappa N14
5486	9300551	Sentiero Italia - Tappa Q05
5511	11628130	Sentiero Italia - Tappa C21N
5533	7635885	Sentiero Italia - Tappa E27
5539	7690502	Sentiero Italia - Tappa D06
5564	7668706	Sentiero Italia - Tappa E34
5567	35000	Passo di Ventarola - Passo della Forcella
5578	7690501	Sentiero Italia - Tappa D07
5607	9645743	Sentiero Italia - Tappa V23
5609	163209	Passo delle Lame – Passo della Spingarda
5633	6946448	Sentiero Italia - Tappa D22S
5642	9303713	Sentiero Italia - Tappa S03
5654	9548168	Sentiero Italia - Tappa D05
5854	9349718	Sentiero Italia - Tappa C10N
5876	11603897	Sentiero Italia - Tappa V02
5908	7535084	Sentiero Italia - Tappa L14
5912	9521969	Sentiero Italia - Tappa F13
5921	6934011	Sentiero Italia - Tappa A15
5928	6900798	Sentiero Italia - Tappa C04
5939	6946450	Sentiero Italia - Tappa D20S
5953	11379660	Sentiero Italia - Tappa S07
5954	9765654	Sentiero Italia - Tappa A05
5957	6925686	Sentiero Italia - Tappa A02
6023	7670035	SI - Rifugio Rivetti - Rifugio Sant'Antonio in Valvogna
6079	7337695	Sentiero Italia - Tappa O11
6127	7243717	Sentiero Italia - Tappa Q11
6134	13251765	Sentiero Italia - Tappa R07B
6165	6946408	Sentiero Italia - Tappa D30S
6186	8433478	Sentiero Italia - Tappa V16
6192	7669949	Sentiero Italia - Tappa E42
6196	9515388	Sentiero Italia - Tappa V23F
6203	7127281	Sentiero Italia - Tappa U08
6206	7153521	Sentiero Italia - Tappa U12
6210	7153520	Sentiero Italia - Tappa U14
6215	7154524	Sentiero Italia - Tappa U15
6225	7006742	Sentiero Italia - Tappa Z09
6231	11377170	Sentiero Italia - Tappa T08
6265	7198207	Sentiero Italia - Tappa S14
6268	6902108	Sentiero Italia - Tappa B08
8729	7700943	Sentiero Italia - Tappa D23N
8730	9962608	Sentiero Italia - Tappa D21N
8734	7700941	Sentiero Italia - Tappa D25N
8789	9288466	Sentiero Italia - Tappa R01
8795	7690500	Sentiero Italia - Tappa D08
8803	7635883	Sentiero Italia - Tappa E29
8833	7534899	Sentiero Italia - Tappa L12
8858	7218740	Sentiero Italia - Tappa S19
8865	9521826	Sentiero Italia - Tappa F08
8890	7006741	Sentiero Italia - Tappa Z11
8931	9515440	Sentiero Italia - Tappa V23G
8933	9645762	SI - Montalbano Elicona - Montalbano Elicona
8952	11592269	Sentiero Italia - Tappa Z23
8961	7668708	Sentiero Italia - Tappa E32
8962	16810779	Sentiero Italia - Tappa E43B
8964	16810843	Sentiero Italia - Tappa E45B
8965	16810803	Sentiero Italia - Tappa E44B
8979	11176679	Sentiero Italia - Tappa P14
9055	9310811	Sentiero Italia - Tappa S12
9060	6925685	Sentiero Italia - Tappa A03
9106	7222435	Sentiero Italia - Tappa Q09
9153	7674777	Sentiero Italia - Tappa D02
9162	9880604	Sentiero Italia - Tappa A18
9385	7416974	Sentiero Italia - Tappa P10
9501	7462142	Sentiero Italia - Tappa N15
9547	7125612	Sentiero Italia - Tappa U02
9551	9289027	Sentiero Italia - Tappa R05
9603	7705267	Sentiero Italia - Tappa D38N
9604	11373620	Sentiero Italia - Tappa T01
9627	1029221	Sentiero Italia - Tappa C10S
9677	8433565	Sentiero Italia - Tappa V21
9701	10119411	Sentiero Italia - Tappa O10
9717	7635884	Sentiero Italia - Tappa E28
9723	1411001	Il Giovo - Prato Rotondo
9743	2644203	Colle di Nava - Passo di Prale
9767	7454094	Sentiero Italia - Tappa N08
9805	7154673	Sentiero Italia - Tappa U16
9861	9290874	Sentiero Italia - Tappa R13
9940	11377041	Sentiero Italia - Tappa T07
10045	7454153	Sentiero Italia - Tappa N11
10061	11999642	Sentiero Italia - Tappa SI L03AP
10103	8427701	Sentiero Italia - Tappa V11
10152	7187511	Sentiero Italia - Tappa S04
10219	11370789	Sentiero Italia - Tappa S06
10258	8427646	Sentiero Italia - Tappa V10
10282	7406237	Sentiero Italia - Tappa P07
10321	7006740	Sentiero Italia - Tappa Z12
10322	11732638	Sentiero Italia - Tappa Z16
10326	11808441	Sentiero Italia - Tappa Z10B
10446	7212422	Sentiero Italia - Tappa S02
10514	163207	Passo della Spingarda – Passo del Bocco
10530	9453740	Sentiero Italia - Tappa S13S
10697	9290803	Sentiero Italia - Tappa R12
10756	9456448	Sentiero Italia - Tappa S15S
10757	9645981	Sentiero Italia - Tappa V25
10789	11627481	Sentiero Italia - Tappa C14N
10796	9959268	Sentiero Italia - Tappa D18N
10849	8044407	Sentiero Italia - Tappa V01
11060	6933708	SI - Rifugio Nordio - Casa Alpina Valbruna
11061	6938088	Sentiero Italia - Tappa A19
11062	6925687	Sentiero Italia - Tappa A01
11063	6934013	Sentiero Italia - Tappa A14
11064	9881086	Sentiero Italia - Tappa A28
11065	6933710	Sentiero Italia - Tappa A04
11066	9880139	Sentiero Italia - Tappa A08
11067	9880567	Sentiero Italia - Tappa A16
11068	9333669	Sentiero Italia - Tappa A25
11069	9333633	Sentiero Italia - Tappa A24
11071	9334333	Sentiero Italia - Tappa A09
11072	6934010	Sentiero Italia - Tappa A17
11077	6938087	Sentiero Italia - Tappa A21
11083	6902107	Sentiero Italia - Tappa B09
11086	7822664	Sentiero Italia - Tappa N02
11099	7337734	Sentiero Italia - Tappa O14
11120	6987310	Sentiero Italia - Tappa Z03
11124	6972878	Sentiero Italia - Tappa Z02
11230	1029244	Sentiero Italia - Tappa C14S
11239	7428266	Sentiero Italia - Tappa P14N
11242	1029179	Sentiero Italia - Tappa C11S
11245	7448428	Sentiero Italia - Tappa P16N
11256	7187510	Sentiero Italia - Tappa S05
11258	6899864	Sentiero Italia - Tappa C05
11267	7468547	Sentiero Italia - Tappa L05
11304	8433462	Sentiero Italia - Tappa V14
11328	7700285	Sentiero Italia - Tappa D16N
11400	6900853	Sentiero Italia - Tappa C02
11423	9230902	Sentiero Italia - Tappa E52N
11427	9213817	Sentiero Italia - Tappa E53N
11431	9485988	Sentiero Italia - Tappa E67
11432	7670026	Sentiero Italia - Tappa E57
11433	7579631	Sentiero Italia - Tappa E12
11434	7670117	Sentiero Italia - Tappa E56
11436	7601318	Sentiero Italia - Tappa E17
11437	7635973	Sentiero Italia - Tappa E30
11438	7635886	Sentiero Italia - Tappa E26
11445	9311822	Sentiero Italia - Tappa P01
11447	35006	Sella della Giassina - Barbagelata
